critic,fresh,imdb,publication,quote,review_date,rtid,title
Owen Gleiberman,fresh,0114709,Entertainment Weekly,,2011-09-07,9559,Toy story
Derek Adams,fresh,0114709,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",2009-10-04,9559,Toy story
Richard Corliss,fresh,0114709,TIME Magazine,The year's most inventive comedy.,2008-08-31,9559,Toy story
David Ansen,fresh,0114709,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,2008-08-18,9559,Toy story
Leonard Klady,fresh,0114709,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,2008-06-09,9559,Toy story
Jonathan Rosenbaum,fresh,0114709,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",2008-03-10,9559,Toy story
Michael Booth,fresh,0114709,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",2007-05-03,9559,Toy story
Geoff Andrew,fresh,0114709,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",2006-06-24,9559,Toy story
Janet Maslin,fresh,0114709,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,2003-05-20,9559,Toy story
Kenneth Turan,fresh,0114709,Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",2001-02-13,9559,Toy story
Susan Wloszczyna,fresh,0114709,USA Today,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",2000-01-01,9559,Toy story
Roger Ebert,fresh,0114709,Chicago Sun-Times,The result is a visionary roller-coaster ride of a movie.,2000-01-01,9559,Toy story
John Hartl,fresh,0114709,Film.com,"Disney's witty, wondrously imaginative, all-computer-generated cartoon is far and away the best of the new holiday movies in town.",2000-01-01,9559,Toy story
Susan Stark,fresh,0114709,Detroit News,Disney's first computer-made animated feature is a 3-D eye popper.,2000-01-01,9559,Toy story
Peter Stack,fresh,0114709,San Francisco Chronicle,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",2000-01-01,9559,Toy story
James Berardinelli,fresh,0114709,ReelViews,The one big negative about Toy Story involves Disney's overcommercialization.,2000-01-01,9559,Toy story
Sean Means,fresh,0114709,Film.com,"Technically, Toy Story is nearly flawless.",2000-01-01,9559,Toy story
Rita Kempley,fresh,0114709,Washington Post,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,2000-01-01,9559,Toy story
,fresh,0114709,Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",1995-11-22,9559,Toy story
Roger Moore,fresh,0114709,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",1995-11-22,9559,Toy story
Owen Gleiberman,rotten,0113497,Entertainment Weekly,,2011-09-07,12436,Jumanji
Leonard Klady,none,0113497,Variety,,2009-01-02,12436,Jumanji
Geoff Andrew,none,0113497,Time Out,,2006-06-24,12436,Jumanji
Janet Maslin,none,0113497,New York Times,,2003-05-20,12436,Jumanji
Peter Stack,none,0113497,San Francisco Chronicle,,2002-06-18,12436,Jumanji
,none,0113497,Globe and Mail,,2002-04-12,12436,Jumanji
Jack Mathews,none,0113497,Los Angeles Times,,2001-02-13,12436,Jumanji
Roger Ebert,rotten,0113497,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",2000-01-01,12436,Jumanji
,none,0113497,Washington Post,,2000-01-01,12436,Jumanji
James Berardinelli,rotten,0113497,ReelViews,,2000-01-01,12436,Jumanji
Susan Stark,fresh,0113497,Detroit News,,2000-01-01,12436,Jumanji
,fresh,0113497,USA Today,A calculated but very entertaining special effects extravaganza.,2000-01-01,12436,Jumanji
Joe Baltake,none,0113497,Sacramento Bee,,2000-01-01,12436,Jumanji
,rotten,0113497,Entertainment Weekly,,1995-12-15,12436,Jumanji
Godfrey Cheshire,none,0114885,Variety,,2009-03-26,16697,Waiting to Exhale
David Ansen,none,0114885,Newsweek,,2008-03-31,16697,Waiting to Exhale
,none,0114885,Time Out,,2006-01-26,16697,Waiting to Exhale
Stephen Holden,none,0114885,New York Times,,2003-05-20,16697,Waiting to Exhale
Liam Lacey,rotten,0114885,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,2002-04-12,16697,Waiting to Exhale
Kenneth Turan,fresh,0114885,Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,2001-02-13,16697,Waiting to Exhale
Edward Guthmann,rotten,0114885,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",2000-01-01,16697,Waiting to Exhale
Desson Thomson,fresh,0114885,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,2000-01-01,16697,Waiting to Exhale
Joan Walsh,rotten,0114885,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",2000-01-01,16697,Waiting to Exhale
Susan Wloszczyna,fresh,0114885,USA Today,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",2000-01-01,16697,Waiting to Exhale
Joe Baltake,rotten,0114885,Sacramento Bee,"With one possible exception, none of its women is at all likable.",2000-01-01,16697,Waiting to Exhale
Susan Stark,rotten,0114885,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",2000-01-01,16697,Waiting to Exhale
James Berardinelli,rotten,0114885,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",2000-01-01,16697,Waiting to Exhale
Roger Ebert,fresh,0114885,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",2000-01-01,16697,Waiting to Exhale
,fresh,0114885,Entertainment Weekly,,1995-12-22,16697,Waiting to Exhale
Brian Lowry,none,0113041,Variety,,2009-03-26,10379,Father of the Bride Part II
,none,0113041,Time Out,,2006-01-26,10379,Father of the Bride Part II
Janet Maslin,none,0113041,New York Times,,2003-05-20,10379,Father of the Bride Part II
Peter Stack,none,0113041,San Francisco Chronicle,,2002-06-18,10379,Father of the Bride Part II
,none,0113041,Globe and Mail,,2002-04-12,10379,Father of the Bride Part II
Kevin Thomas,none,0113041,Los Angeles Times,,2001-02-13,10379,Father of the Bride Part II
Mike Clark,rotten,0113041,USA Today,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",2000-01-01,10379,Father of the Bride Part II
Roger Ebert,rotten,0113041,Chicago Sun-Times,,2000-01-01,10379,Father of the Bride Part II
Susan Stark,rotten,0113041,Detroit News,,2000-01-01,10379,Father of the Bride Part II
Joe Baltake,none,0113041,Sacramento Bee,,2000-01-01,10379,Father of the Bride Part II
Hal Hinson,none,0113041,Washington Post,,2000-01-01,10379,Father of the Bride Part II
Desson Thomson,none,0113041,Washington Post,,2000-01-01,10379,Father of the Bride Part II
James Berardinelli,rotten,0113041,ReelViews,,2000-01-01,10379,Father of the Bride Part II
,fresh,0113041,Entertainment Weekly,,1995-12-08,10379,Father of the Bride Part II
Derek Elley,none,0112896,Variety,,2012-02-23,10445,Dracula: Dead and Loving It
Jonathan Rosenbaum,rotten,0112896,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,2009-10-20,10445,Dracula: Dead and Loving It
Joe Leydon,rotten,0112896,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",2009-03-26,10445,Dracula: Dead and Loving It
,rotten,0112896,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",2006-01-26,10445,Dracula: Dead and Loving It
Janet Maslin,fresh,0112896,New York Times,Slight but amusing.,2003-05-20,10445,Dracula: Dead and Loving It
David Kronke,rotten,0112896,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",2002-08-15,10445,Dracula: Dead and Loving It
James Berardinelli,rotten,0112896,ReelViews,It's a toothless parody that misses more often than it hits.,2000-01-01,10445,Dracula: Dead and Loving It
Susan Stark,rotten,0112896,Detroit News,,2000-01-01,10445,Dracula: Dead and Loving It
Hal Hinson,rotten,0112896,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",2000-01-01,10445,Dracula: Dead and Loving It
Susan Wloszczyna,rotten,0112896,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",2000-01-01,10445,Dracula: Dead and Loving It
Desson Thomson,rotten,0112896,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",2000-01-01,10445,Dracula: Dead and Loving It
Mick LaSalle,fresh,0112896,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",2000-01-01,10445,Dracula: Dead and Loving It
Brian Lowry,none,0112453,Variety,,2009-03-26,9562,Balto
,none,0112453,Time Out,,2006-01-26,9562,Balto
Stephen Holden,none,0112453,New York Times,,2003-05-20,9562,Balto
David Kronke,none,0112453,Los Angeles Times,,2002-08-15,9562,Balto
Joe Baltake,none,0112453,Sacramento Bee,,2000-01-01,9562,Balto
